63,（ ）是“决定性瞬间”这一摄影经典理论的创立者。,亨利·卡蒂埃-布列松,爱德华·斯泰肯,爱德华·韦斯顿,安塞尔·亚当斯,A
64,曝光组合参数是指拍摄时使用的（　）与快门时间的组合。,光圈参数,拍摄距离,焦距,景深,A
65,反差是指景物或影像的明暗对比差别，也就是通常所说（　）。,“黑”与“白”,“软”与“硬”,“厚”与“薄”,“深”与“浅”,B
66,罗伯特·卡帕的名作《士兵之死》拍摄于( )。,西班牙内战,中国抗日战场,二战期间的欧洲战场,越南战场,A
67,控制曝光指以创作意图为目的，改变（　）之间关系，是摄影师主观意图的再现。,原景物的画面构图,原景物亮度与感光介质的影像密度,原景物与摄影师主观意图,原景物的光比与感光介质的影像层次,B
68,光比是指主光与辅助光之比，其大小是被摄体暗面与亮面之间的（　）。,位移量,角度,反差或亮度的间距,最大值,C
69,尤金·史密斯拍摄的最著名的新闻专题摄影作品是（ ）。,《从一个中国到另一个中国》,《乡村医生》,《赤裸的城市》,《名人在毫无防备时刻》,B
70,影响自然光照度变化的因素：季节、时间、（　）。,焦距、相机,景深、地点,光圈、相机,气候、地点,D
71,摄影光源的光位种类：顺光照明、（　）、逆光照明。,太阳光照明,人工光照明,灯光照明,侧光照明,D
72,为了获得虚实对比的艺术效果，通常采用（ ）曝光模式。,光圈优先,快门优先,程序,评价式自动曝光,A
73,具有较大像场的摄影镜头为（ ）。,折反射镜头,超长焦距镜头 ,标准镜头,广角镜头,D
74,为了获得动静对比的艺术效果，通常采用（ ）曝光模式。,光圈优先,快门优先,程序,评价式自动曝光,B
75,使用高速快门拍摄的特点（ ）。,可以产生动感 ,可以虚化背景,可以增大景深,可以凝固动体,D
76,感光度和曝光量的关系是（　）。,ISO50比ISO100的感光度高,感光度和曝光量没关系,感光度越低，需要曝光量越少,感光度越低，需要曝光量越多,D
77,ISO、ASA、DIN、GB为（　）的四种标注方法。,感光性,宽容度,光亮度,感光度,D
78,最先记录美国城市贫民的生活，并出版《另一半人是怎样生活的》一书的纪实摄影家是（ ）。,多萝西娅·兰格,雅各布·里斯,沃克·伊文思,爱德华·斯泰肯,B
79,世界上第一张新闻照片是比欧乌和史特尔茨纳拍摄的（ ）。,《诺曼底登陆》,《克里米亚战争》,《汉堡大火》,《移民的母亲》,C
80,埃里奇·萨洛蒙创立的“小相机+现场光+抓拍”模式，被誉为早期（ ）的经典理论。,人像摄影,新闻摄影,风光摄影,艺术摄影,B
81,曝光宽容度是指（　）。,胶片对不恰当曝光的允许程度,胶片对正确曝光的允许程度,景物曝光的范围,自然的曝光时间,A
82,艾森斯塔特的名作《欢庆胜利之吻》是( )年拍摄的。,1927,1945,1963,1988,B
83,（ ）拍摄的风光照片，促使美国国会通过法案，把黄石地区建立为美国第一个国家公园。,蒂莫西·亨利·奥沙利文,卡尔顿·沃特金斯,威廉·亨利·杰克逊,查里斯·克里福德,C
84,景物的亮度范围与曝光宽容度成（　　）。,等比,正比,反比,平方比,C
85,（　　）不属于曝光控制的基本要点。,中级灰景物作为订光根据,控制景物亮度范围在宽容度以内,结合摄影意图，适当增减曝光量,根据构图要求，正确选用镜头,D
86,（　　）的测光原理是以18%中灰色调再现测光亮度。,闪光测光表,点测光表,照度测光表,亮度测光表,D
87,1936年，美国报业大王（ ）创办了美国第一家全部采用照片的画报《生活》杂志。,埃里希·萨洛蒙,奥斯卡·巴纳克,亨利·卢斯,罗杰·芬顿,C
88,与其他新闻手段相比，新闻摄影最重要的特性是（ ）。,新闻性,现场纪实性,真实性,时效性,B
89,当被摄体以深暗色调为主，或主体位于大面积深暗背景前，拍摄按平均测光会导致（　）。,反差偏小,互易率失效,测光读数偏高,测光读数偏低,D
90,对同一被摄对象采用若干不同的曝光量拍摄的方法称为（　）。,平均曝光法,包围曝光法,高调曝光法,低调曝光法,B
91,未经公民本人同意，将公民照片进行广告宣传，属于（　）。,侵犯公民名誉权,侵犯公民知情权,侵犯公民肖像权,侵犯公民特惠权,C
92,（ ）不符合证件照的基本要求。,按照发证单位对规格的要求拍摄,按照发证单位对式样的要求制作,真实反映被摄者的形象,通过化妆，美化人物形象,D
93,摄影构图中“黄金分割”即把一条线段分为两段之后，其中一段与全长的比值为（ ）,0.415,0.314,0.5,0.618,D
94,商业人像摄影中，用来调节明暗部光比的造型光称为（ ）。,主光,辅助光,轮廓光,背景光,B
95,商业人像摄影中，用来修饰和强化被摄体局部细节的照明光线称为（ ）。,主光,辅助光,修饰光,背景光,C
96,主光在人像摄影中的作用是（ ）。,决定明暗分配，立体感和质感,提高暗部亮度，调节画面光比,勾勒人物轮廓，区分人物和背景,影响画面基调，营造环境氛围,A
97,多人合影照的排列既要照顾人物主次、高矮、胖瘦，又要考虑（ ）等关系。,背景颜色,衣服颜色,周围环境 ,男女搭配,B
98,多人合影照人物位置调整原则是人物排列的（ ）要根据画面的长度比例来决定。,宽度 ,宽度与高度 ,高度 ,多与少,B
99,上世纪拍摄女性肖像最流行的布光法为（ ）。,五灯规范布光法,三角灯布光法,蝴蝶光布光法,单灯布光法,C
100,在多人合影照人物衣服色彩的调整上，穿（ ）颜色和白色、中黄色衣服的人物不要集中在一起。,浅红 ,浅绿 ,浅黄 ,浅蓝,C
101,国内影楼流行的大平光照明，采用的是（ ）。,八字形布光法,V字型布光法,高低V字型布光法,单灯布光法,A
102,人物较暗，背景较亮，按照正常曝光拍摄时，人物形象会显得（ ）。,太暗,太亮,正常,有时太暗，有时太亮,A
103,摄影要表现画面的动感，就要使主线变为（ ）。,竖线 ,辅线,倾斜线,水平线,C
104,减少曝光量就会减低色彩的明度，也就会加深（ ）。,饱和度,色彩清晰度,画面中灰度 ,画面颜色,D
105,增加画面色彩明度和加深画面颜色必须在（ ）进行拍摄。,散射光下 ,强光下 ,日光下,灯光下,A
106,某个画面中黄与蓝或青与红组合在一起，极不协调，用（ ）可以使问题得到解决。,暖色调和 ,冷色调和 ,重彩构成 ,消色构成,D
107,画面由（ ）为主要色彩组成时，不属于对比色构成。,品、绿 ,红、黄,黄、蓝 ,青、红,B
108,（ ）能构成画面的冷色基调，给人含蓄宁静的感受。,红,橙,黄,蓝,D
109,（ ）不属于暖调构成的色彩。,黄、橙 ,红、橙,黄、红,紫、青,D
110,（ ）能构成画面的暖色基调，给人热烈兴奋的感受。,青,蓝,绿,红,D
111,影调就是指不同亮度的景物，在照片上以黑、白、灰等（ ）反映原景物的亮度。,密度形式,色彩 ,清晰程度,构图,A
112,假设人物面部暗光位为1，亮度位为2或3更高，要取得较好的影调效果，必须取（ ）。,平均曝光值,按最暗部曝光,按最亮部曝光,按次亮部曝光,A
113,拍摄清新明快的高调人像，曝光应按平均测光数据（ ）。,过度一档或两档,不足一档或两档,不足三档或四档,正常曝光,A
114,高调照片背景不但要均匀，而且亮度应（ ）脸部亮度。,相当于 ,略低于 ,略高于 ,远远高于,C
115,由于顺光的特点是（ ），投影小，所以它适合高调效果的形成。,光照度高 ,受光部位非常明亮,照度面积大 ,有强烈反差,C
116,拍摄深沉凝重的低调照片，曝光应按平均测光数据（ ）。,过度一档或两档,不足一档或两档,过度三档或四档,正常曝光,B
117,拍摄人数众多的团体照，最好使用（ ）。,广角镜头,标准镜头,大光圈,高感光度,B
118,拍摄人物特写时，最需要关注的是人物的（ ）。,姿势,神态,背景,衣着,B
119,低调照片（　），其调子就越低，光线安排应简洁，朴实。,光线强 ,反差越小,距离越远,光线越少,D
120,低调摄影与高调相比，曝光应（ ）。,略少一些 ,略多一些 ,多一倍,多二倍,A
121,中间调指的是一幅画面中，（ ），由深灰到浅灰的影调在画面中占绝对优势。,以灰调为主 ,以暗调为主,以明调为主,明暗光比强烈,A
122,外景纪念照与其他摄影门类相比，最显著的特征是（ ）。,突出人物,强调环境,人景并重,注重创意,C
123,（ ）是既未经处理也未经压缩的数码相机专用图像格式，是一种“无损失”的原始数据格式。,JPEC,TIFF,RAW,PSD,C
124,介于中间调与（ ）之间的一种影调，称之为暗调。,低调,硬调 ,冷调,高调 ,A
125,明调区别于高调的根本一点，在于明调（ ），缺少高调韵味。,背景浅，服饰也浅 ,背景浅，但服饰较深,背景深，但服饰较浅,背景深，服饰也深,B
126,采用纯黑背景作为多次曝光的拍摄背景，目的是使每次曝光时（ ）。,能够不偏离位置,都吸收一定光线,其他部分不感光 ,使影像交叉，影调丰富,C
127,最早来华拍照的外国人是（ ）。,费利斯·比特,于勒·埃及尔,约翰·汤姆森,山本赞七郎,B
128,照片、文件、文物等复制成图像，就要用（ ）这项摄影技术。,一次成像 ,对比摄影,焦距摄影,翻拍,D
129,翻拍摄影在拍摄和后期制作时应尽量减少翻拍过程中（ ）和色彩的损失。,形状变异 ,质地缺损,层次,曝光量,C
130,翻拍必须使用微距镜头，因为（ ），拍摄距离近。,不需要背景 ,复制件要与原件尽量相似,追求高质量,翻拍的原件较小,D
131,拍摄童工生活的纪实照片，并导致美国国会颁布《童工法》的摄影家是（ ）。,多萝西娅·兰格,路易斯·海因,雅各布·里斯,沃克·伊文思,B
132,"采取中间灰为翻拍的基准亮度,曝光可以（ ）。",节省测光时间 ,不必使用器材，节省开支,拍摄的照片黑白分明,正常反映原件的亮度关系,D
133,翻拍时，布光常用的方法是，光源要从（ ），亮度要一致。,原件两侧照射,原件顶部照射,原件的顶部与两侧照射 ,相机的正面照射,A
134,在彩色翻拍摄影中，使用滤光镜是为了达到色彩（ ）的目的。,正确还原 ,更加鲜艳,更加沉稳,对比度较大,A
135,在翻拍时要消除表面光滑的非金属原件上的（ ），必须使用偏振镜。,阴影 ,强反射光 ,各种污迹 ,多余色彩,B
136,（ ）美国普利策新闻奖开始设立最佳新闻照片奖,1936年,1942,1968,1978,B
137,黑白片翻拍沾有各色污迹的原件时，选用（ ）滤光镜可以清除污迹。,与污迹同色的深色 ,与污迹同色的浅色,与污迹互补的 ,三原色,A
138,第一次提到“新闻摄影”，把它列为新闻记者必备的技能之一的我国著名报人和学者是（ ）。,魏守忠,戈公振,吴印咸,邵飘萍,D
139,刊登第一张时事照片的我国报刊是（ ）。,《京话时报》 ,《良友》,《时报》,《上海画报》,A
140,1855年，英国皇家摄影学会的创办人（ ）用摄影手段记录了克里米亚战争的一些场面。,玛格丽特·伯克－怀特,罗杰·芬顿,罗伯特·卡帕,亨利·卡蒂埃－布列松 ,B
141,始创于1853年的世界上最早的摄影组织是（ ）。,F64小组,中国摄影家协会,英国皇家摄影学会,世界新闻摄影荷兰基金会,C
142,第一位在“荷赛”获奖的中国大陆摄影家是（ ）。,郎静山,吴印咸,陈复礼,杨绍明,D
143,以拍摄“环境肖像”著称的摄影师是( ),阿诺德·纽曼,爱德华·韦斯顿,尤素福·卡什,菲利普·哈尔斯曼,A
144,与其他大众传播方式相比，新闻摄影最显著的特点在于（ ）。,新闻性,艺术性,形象性,时效性,C
145,婚纱照服饰的基本类型主要有（ ）、晚礼服系列、日式和服系列、中式结婚礼服系列等。,美式婚纱礼服系列,欧式婚纱礼服系列,英式婚纱礼服系列,德式婚纱礼服系列,B
146,1927年，中国第一本摄影美学著作（ ）正式出版。,《摄影之器记》,《半农谈影》,《良友》,《脱影奇观》,B
147,婚纱照要求灯具数量充足，原因是（ ），光型变化丰富多样，要顾及被摄人物整体及背景光亮度，营造出细腻的光型效果。,婚纱拍摄的场景较大 ,灯具充足更显气派,灯具少不能吸引顾客,企业有实力,A
148,抗战初期，美国记者埃德加·斯诺访问陕北，随后在英国、美国出版了（ ）。,《中国和她的人民》,《中国游记》,《红星照耀中国》,《羌戎考察记》,C
149,1942年7月1日，解放区第一本以照片为主的新闻摄影画报（ ）正式诞生。,《良友》,《真相画报》,时报《图画周刊》,《晋察冀画报》,D
150,1928年初，“以研究摄影艺术为宗旨”的我国早期摄影团体（ ）在上海成立。,北京光社,中华摄影学社,黑白影社,中国摄影学会,B
151,1937年10月，中国革命摄影事业的奠基者（ ）成为晋察冀抗日根据地第一位摄影记者。,石少华,沙飞,吴印咸,郑景康,B
152,世界摄影史上的第一个摄影艺术流派是（ ）。,纯影派,抽象派,画意派,超现实,C
153,早在中国（ ），墨子就在《墨经》中记载了摄影成像的基础原理——小孔成像。,春秋时期,战国时期,秦代,汉代,A
154,按照镜头焦距分类，135型照相机标准镜头的焦距范围一般为（ ）。,14-24mm,28-38mm,40-58mm,70-135mm,C
155,APS-C数码照相机上使用135照相机50mm镜头，取景范围相当于传统（ ）的拍摄效果,28mm广角镜头,50mm中焦镜头,75mm中焦镜头,180mm长焦镜头,C
156,镜头焦距为50mm，光孔直径为20mm，光圈系数为（ ）。,F2,F2.5,F4 ,F8,B
157,快门速度的设定会因被摄体运动方向而不同，下列角度中（ ）应采用较快的快门速度。,正拍,侧拍,45°斜拍,背拍,B
158,先调焦，后释放快门，用于静态摄影，能防止调焦不准就开拍“走火”的调焦模式是（ ）。,单次自动调焦,连续自动调焦,伺服调焦,手动调焦,A
159,数码照相机的（ ）是影像传感器上最基本的感光单位，也是表示分辨率高低的重要指标。,像素,色位深度,对比度,白平衡,A
160,数字影像系统中，（ ）指单位长度中所能展现和分辨的像素数目，包括ppi和dpi两种单位。,总像素,宽容度,动态范围,分辨率,D
161,在数码摄影中，（ ）的影像调整是通过对红绿蓝三色电信号的增减来实现的。,总像素,分辨率,白平衡,色位深度,C
162,（ ）是数码影像在暗部出现的杂乱色彩的颗粒.,像素,噪点,分辨率,色位深度,B
163,（ ）存储速度快，耗电量小，使用寿命长，安全系数高，可以高速连拍和不间断拍摄。,CF卡,MMC卡,SD卡,XD卡,A
164,摄影要表现画面的动感，就要使主线变为（）。,竖线 ,辅线,倾斜线,水平线,C
165,减少曝光量就会减低色彩的明度，也就会加深（）。,饱和度,色彩清晰度,画面中灰度 ,画面颜色,D
166,文件比较小，可以进行高倍率压缩、快速传输和存储，目前压缩率最高的格式之一是（ ）。,JPEG,TIFF,RAW,PSD,A
167,拍摄深沉凝重的低调照片，曝光应按平均测光数据（ ）。,过度一档或两档,不足一档或两档,过度三档或四档,正常曝光,B
168,低调照片（　），其调子就越低，光线安排应简洁，朴实。,光线强 ,反差越小,距离越远,光线越少,D
169,采用纯黑背景作为多次曝光的拍摄背景，目的是使每次曝光时（ ）。,能够不偏离位置,都吸收一定光线,其他部分不感光 ,使影像交叉，影调丰富,C
170,以拍摄“环境肖像”著称的摄影师是( ),阿诺德·纽曼,爱德华·韦斯顿,尤素福·卡什,菲利普·哈尔斯曼,A
171,郎静山创作的第一幅集锦摄影作品是（ ）。,《齐向光明中去》,《晓汲清江》,《春树奇峰》,《枫桥夜泊》,C
172,直方图用横坐标标注画面从明亮到灰暗的影调分布，靠左的波形曲线表示（ ）影像的状况。,亮部,暗部,灰部,亮部到暗部,B
173,1927年，中国第一本摄影美学著作（ ）正式出版。,《摄影之器记》,《半农谈影》,《良友》,《脱影奇观》,B
174,专业化照相机的测光系统设置，从拍摄点机位远距离测量被摄场面总亮度的称为（ ）。,平均测光,中央区域测光,多区域综合测光,点测光,A
175,1928年初，“以研究摄影艺术为宗旨”的我国早期摄影团体（ ）在上海成立。,北京光社,中华摄影学社,黑白影社,中国摄影学会,B
